2014 Research Excellence Framework Results,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Quality profiles for all submissions,,,,,,,,,,,,,,,
"Note: In this table, joint submissions are shown split by their constituent institutions.",,,,,,,,,,,,,,,
UKPRN,Institution,SortOrder,MainPanel,UOA,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,Profile,StaffFte,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
,,,,,,,,,,,Percentage of the submission meeting the standard for:,,,,
,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Institution sort order,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Profile,FTE Category A staff submitted,4*,3*,2*,1*,unclassified
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,11.30,6.4,68.1,25.5,0.0,0.0
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Impact,11.30,20.0,80.0,0.0,0.0,0.0
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Environment,11.30,12.5,75.0,12.5,0.0,0.0
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,11.30,10,72,18,0,0
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,13.70,10.3,61.5,25.6,2.6,0.0
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Impact,13.70,0.0,0.0,20.0,80.0,0.0
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Environment,13.70,0.0,37.5,62.5,0.0,0.0
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,13.70,7,45,30,18,0
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Outputs,7.25,0.0,34.8,39.1,4.4,21.7
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Impact,7.25,0.0,10.0,70.0,20.0,0.0
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Environment,7.25,0.0,0.0,0.0,87.5,12.5
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Overall,7.25,0,25,39,20,16
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Outputs,8.00,0.0,31.0,65.6,3.4,0.0
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Impact,8.00,0.0,70.0,30.0,0.0,0.0
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Environment,8.00,0.0,0.0,75.0,25.0,0.0
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Overall,8.00,0,34,60,6,0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning", ,,,Outputs,8.00,12.5,29.2,41.6,16.7,0.0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning", ,,,Impact,8.00,0.0,0.0,50.0,50.0,0.0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning", ,,,Environment,8.00,0.0,12.5,50.0,37.5,0.0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning", ,,,Overall,8.00,8,21,45,26,0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,17.50,12.5,43.1,40.2,4.2,0.0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology", ,,,Impact,17.50,23.3,36.7,40.0,0.0,0.0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology", ,,,Environment,17.50,0.0,37.5,62.5,0.0,0.0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,17.50,13,41,43,3,0
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies, ,,,Outputs,14.20,6.8,47.7,36.4,4.6,4.5
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies, ,,,Impact,14.20,10.0,70.0,20.0,0.0,0.0
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies, ,,,Environment,14.20,0.0,0.0,62.5,37.5,0.0
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies, ,,,Overall,14.20,6,45,37,9,3
10000291,Anglia Ruskin University,10,C,20,Law, ,,,Outputs,10.20,2.8,27.8,44.4,19.4,5.6
10000291,Anglia Ruskin University,10,C,20,Law, ,,,Impact,10.20,0.0,40.0,50.0,10.0,0.0
10000291,Anglia Ruskin University,10,C,20,Law, ,,,Environment,10.20,0.0,0.0,100.0,0.0,0.0
10000291,Anglia Ruskin University,10,C,20,Law, ,,,Overall,10.20,2,26,54,14,4
10000291,Anglia Ruskin University,10,C,22,Social Work and Social Policy, ,,,Outputs,14.31,10.7,21.4,44.7,23.2,0.0
10000291,Anglia Ruskin University,10,C,22,Social Work and Social Policy, ,,,Impact,14.31,0.0,0.0,80.0,20.0,0.0
10000291,Anglia Ruskin University,10,C,22,Social Work and Social Policy, ,,,Environment,14.31,0.0,50.0,50.0,0.0,0.0
10000291,Anglia Ruskin University,10,C,22,Social Work and Social Policy, ,,,Overall,14.31,7,21,53,19,0
10000291,Anglia Ruskin University,10,C,25,Education, ,,,Outputs,5.20,0.0,28.6,42.8,23.8,4.8
10000291,Anglia Ruskin University,10,C,25,Education, ,,,Impact,5.20,0.0,0.0,50.0,50.0,0.0
10000291,Anglia Ruskin University,10,C,25,Education, ,,,Environment,5.20,0.0,50.0,50.0,0.0,0.0
10000291,Anglia Ruskin University,10,C,25,Education, ,,,Overall,5.20,0,26,45,26,3
10000291,Anglia Ruskin University,10,D,29,English Language and Literature, ,,,Outputs,16.80,13.0,42.6,33.3,11.1,0.0
10000291,Anglia Ruskin University,10,D,29,English Language and Literature, ,,,Impact,16.80,0.0,46.7,40.0,13.3,0.0
10000291,Anglia Ruskin University,10,D,29,English Language and Literature, ,,,Environment,16.80,0.0,0.0,100.0,0.0,0.0
10000291,Anglia Ruskin University,10,D,29,English Language and Literature, ,,,Overall,16.80,8,37,45,10,0
10000291,Anglia Ruskin University,10,D,30,History, ,,,Outputs,5.50,12.5,33.3,45.9,8.3,0.0
10000291,Anglia Ruskin University,10,D,30,History, ,,,Impact,5.50,0.0,0.0,40.0,20.0,40.0
10000291,Anglia Ruskin University,10,D,30,History, ,,,Environment,5.50,0.0,30.0,40.0,30.0,0.0
10000291,Anglia Ruskin University,10,D,30,History, ,,,Overall,5.50,8,26,44,14,8
10000291,Anglia Ruskin University,10,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,13.90,5.7,43.4,39.6,11.3,0.0
10000291,Anglia Ruskin University,10,D,34,"Art and Design: History, Practice and Theory", ,,,Impact,13.90,0.0,70.0,30.0,0.0,0.0
10000291,Anglia Ruskin University,10,D,34,"Art and Design: History, Practice and Theory", ,,,Environment,13.90,0.0,10.0,80.0,10.0,0.0
10000291,Anglia Ruskin University,10,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,13.90,4,43,44,9,0
10000291,Anglia Ruskin University,10,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,13.80,6.4,21.3,40.4,27.6,4.3
10000291,Anglia Ruskin University,10,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,13.80,40.0,60.0,0.0,0.0,0.0
10000291,Anglia Ruskin University,10,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,13.80,0.0,50.0,40.0,10.0,0.0
10000291,Anglia Ruskin University,10,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,13.80,12,34,32,19,3
10000291,Anglia Ruskin University,10,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,8.70,18.2,51.5,30.3,0.0,0.0
10000291,Anglia Ruskin University,10,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Impact,8.70,0.0,40.0,60.0,0.0,0.0
10000291,Anglia Ruskin University,10,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Environment,8.70,0.0,30.0,70.0,0.0,0.0
10000291,Anglia Ruskin University,10,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,8.70,12,46,42,0,0
10007759,Aston University,20,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,56.80,32.4,60.2,6.5,0.0,0.9
10007759,Aston University,20,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Impact,56.80,55.7,38.6,5.7,0.0,0.0
10007759,Aston University,20,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Environment,56.80,87.5,12.5,0.0,0.0,0.0
10007759,Aston University,20,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,56.80,45,49,5,0,1
10007759,Aston University,20,B,11,Computer Science and Informatics, ,,,Outputs,18.20,11.8,41.1,47.1,0.0,0.0
10007759,Aston University,20,B,11,Computer Science and Informatics, ,,,Impact,18.20,40.0,60.0,0.0,0.0,0.0
10007759,Aston University,20,B,11,Computer Science and Informatics, ,,,Environment,18.20,0.0,45.0,55.0,0.0,0.0
10007759,Aston University,20,B,11,Computer Science and Informatics, ,,,Overall,18.20,16,45,39,0,0
10007759,Aston University,20,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Outputs,24.00,16.9,54.2,28.9,0.0,0.0
10007759,Aston University,20,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Impact,24.00,26.7,73.3,0.0,0.0,0.0
10007759,Aston University,20,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Environment,24.00,0.0,35.0,55.0,10.0,0.0
10007759,Aston University,20,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Overall,24.00,16,55,28,1,0
10007759,Aston University,20,B,15,General Engineering, ,,,Outputs,23.63,14.6,60.7,22.5,2.2,0.0
10007759,Aston University,20,B,15,General Engineering, ,,,Impact,23.63,26.7,46.6,13.4,13.3,0.0
10007759,Aston University,20,B,15,General Engineering, ,,,Environment,23.63,0.0,55.0,45.0,0.0,0.0
10007759,Aston University,20,B,15,General Engineering, ,,,Overall,23.63,15,57,24,4,0
10007759,Aston University,20,C,19,Business and Management Studies, ,,,Outputs,46.30,21.3,45.4,31.0,2.3,0.0
10007759,Aston University,20,C,19,Business and Management Studies, ,,,Impact,46.30,26.7,73.3,0.0,0.0,0.0
10007759,Aston University,20,C,19,Business and Management Studies, ,,,Environment,46.30,75.0,25.0,0.0,0.0,0.0
10007759,Aston University,20,C,19,Business and Management Studies, ,,,Overall,46.30,30,48,21,1,0
10007759,Aston University,20,D,27,Area Studies, ,,,Outputs,12.00,27.9,51.2,20.9,0.0,0.0
10007759,Aston University,20,D,27,Area Studies, ,,,Impact,12.00,30.0,50.0,20.0,0.0,0.0
10007759,Aston University,20,D,27,Area Studies, ,,,Environment,12.00,20.0,70.0,10.0,0.0,0.0
10007759,Aston University,20,D,27,Area Studies, ,,,Overall,12.00,27,54,19,0,0
10007759,Aston University,20,D,28,Modern Languages and Linguistics, ,,,Outputs,18.50,4.6,44.6,41.6,9.2,0.0
10007759,Aston University,20,D,28,Modern Languages and Linguistics, ,,,Impact,18.50,60.0,13.3,26.7,0.0,0.0
10007759,Aston University,20,D,28,Modern Languages and Linguistics, ,,,Environment,18.50,60.0,40.0,0.0,0.0,0.0
10007759,Aston University,20,D,28,Modern Languages and Linguistics, ,,,Overall,18.50,24,38,32,6,0
10007850,University of Bath,30,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,54.20,35.1,53.0,10.9,1.0,0.0
10007850,University of Bath,30,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Impact,54.20,73.3,20.0,6.7,0.0,0.0
10007850,University of Bath,30,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Environment,54.20,87.5,12.5,0.0,0.0,0.0
10007850,University of Bath,30,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,54.20,51,40,8,1,0
10007850,University of Bath,30,A,5,Biological Sciences, ,,,Outputs,24.50,31.3,51.8,15.7,0.0,1.2
10007850,University of Bath,30,A,5,Biological Sciences, ,,,Impact,24.50,13.3,86.7,0.0,0.0,0.0
10007850,University of Bath,30,A,5,Biological Sciences, ,,,Environment,24.50,0.0,75.0,25.0,0.0,0.0
10007850,University of Bath,30,A,5,Biological Sciences, ,,,Overall,24.50,23,62,14,0,1
10007850,University of Bath,30,B,8,Chemistry, ,,,Outputs,33.10,18.9,78.6,2.5,0.0,0.0
10007850,University of Bath,30,B,8,Chemistry, ,,,Impact,33.10,50.0,50.0,0.0,0.0,0.0
10007850,University of Bath,30,B,8,Chemistry, ,,,Environment,33.10,20.0,80.0,0.0,0.0,0.0
10007850,University of Bath,30,B,8,Chemistry, ,,,Overall,33.10,25,73,2,0,0
10007850,University of Bath,30,B,9,Physics, ,,,Outputs,23.00,15.5,75.0,9.5,0.0,0.0
