Title,"HE student enrolment FTE by HE provider, level of study and academic year","","","","",""
Location,UK,"","","","",""
Academic years,2014/15 to 2020/21,"","","","",""
Data source,HESA,"","","","",""
Data collection,"051, 054","","","","",""
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/table-2,"","","","",""
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/table-2.csv,"","","","",""
Licence,Creative Commons Attribution 4.0 International Licence,"","","","",""
Code page,Unicode UTF-8,"","","","",""
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,"","","","",""
Table 2014/15 total,1902320,"","","","",""
Table 2015/16 total,1933915,"","","","",""
Table 2016/17 total,1985695,"","","","",""
Table 2017/18 total,2035365,"","","","",""
Table 2018/19 total,2076095,"","","","",""
Table 2019/20 total,2147900,"","","","",""
Table 2020/21 total,2286840,"","","","",""
"","","","","","",""
Last updated,February 22,"","","","",""
"","","","","","",""
UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Level of study,Number
10008071,AA School of Architecture,England,London,2020/21,Postgraduate (research),30
10008071,AA School of Architecture,England,London,2020/21,Postgraduate (taught),270
10008071,AA School of Architecture,England,London,2020/21,First degree,590
10008071,AA School of Architecture,England,London,2020/21,Other undergraduate,20
10008071,AA School of Architecture,England,London,2020/21,Total,910
10008071,AA School of Architecture,All,London,2020/21,Postgraduate (research),30
10008071,AA School of Architecture,All,London,2020/21,Postgraduate (taught),270
10008071,AA School of Architecture,All,London,2020/21,First degree,590
10008071,AA School of Architecture,All,London,2020/21,Other undergraduate,20
10008071,AA School of Architecture,All,London,2020/21,Total,910
10008071,AA School of Architecture,All,All,2020/21,Postgraduate (research),30
10008071,AA School of Architecture,All,All,2020/21,Postgraduate (taught),270
10008071,AA School of Architecture,All,All,2020/21,First degree,590
10008071,AA School of Architecture,All,All,2020/21,Other undergraduate,20
10008071,AA School of Architecture,All,All,2020/21,Total,910
10008071,AA School of Architecture,England,All,2020/21,Postgraduate (research),30
10008071,AA School of Architecture,England,All,2020/21,Postgraduate (taught),270
10008071,AA School of Architecture,England,All,2020/21,First degree,590
10008071,AA School of Architecture,England,All,2020/21,Other undergraduate,20
10008071,AA School of Architecture,England,All,2020/21,Total,910
10008071,AA School of Architecture,England,London,2019/20,Postgraduate (research),25
10008071,AA School of Architecture,England,London,2019/20,Postgraduate (taught),230
10008071,AA School of Architecture,England,London,2019/20,First degree,520
10008071,AA School of Architecture,England,London,2019/20,Other undergraduate,0
10008071,AA School of Architecture,England,London,2019/20,Total,780
10008071,AA School of Architecture,All,London,2019/20,Postgraduate (research),25
10008071,AA School of Architecture,All,London,2019/20,Postgraduate (taught),230
10008071,AA School of Architecture,All,London,2019/20,First degree,520
10008071,AA School of Architecture,All,London,2019/20,Other undergraduate,0
10008071,AA School of Architecture,All,London,2019/20,Total,780
10008071,AA School of Architecture,All,All,2019/20,Postgraduate (research),25
10008071,AA School of Architecture,All,All,2019/20,Postgraduate (taught),230
10008071,AA School of Architecture,All,All,2019/20,First degree,520
10008071,AA School of Architecture,All,All,2019/20,Other undergraduate,0
10008071,AA School of Architecture,All,All,2019/20,Total,780
10008071,AA School of Architecture,England,All,2019/20,Postgraduate (research),25
10008071,AA School of Architecture,England,All,2019/20,Postgraduate (taught),230
10008071,AA School of Architecture,England,All,2019/20,First degree,520
10008071,AA School of Architecture,England,All,2019/20,Other undergraduate,0
10008071,AA School of Architecture,England,All,2019/20,Total,780
10008071,AA School of Architecture,England,London,2018/19,Postgraduate (research),30
10008071,AA School of Architecture,England,London,2018/19,Postgraduate (taught),190
10008071,AA School of Architecture,England,London,2018/19,First degree,520
10008071,AA School of Architecture,England,London,2018/19,Other undergraduate,0
10008071,AA School of Architecture,England,London,2018/19,Total,735
10008071,AA School of Architecture,All,London,2018/19,Postgraduate (research),30
10008071,AA School of Architecture,All,London,2018/19,Postgraduate (taught),190
10008071,AA School of Architecture,All,London,2018/19,First degree,520
10008071,AA School of Architecture,All,London,2018/19,Other undergraduate,0
10008071,AA School of Architecture,All,London,2018/19,Total,735
10008071,AA School of Architecture,All,All,2018/19,Postgraduate (research),30
10008071,AA School of Architecture,All,All,2018/19,Postgraduate (taught),190
10008071,AA School of Architecture,All,All,2018/19,First degree,520
10008071,AA School of Architecture,All,All,2018/19,Other undergraduate,0
10008071,AA School of Architecture,All,All,2018/19,Total,735
10008071,AA School of Architecture,England,All,2018/19,Postgraduate (research),30
10008071,AA School of Architecture,England,All,2018/19,Postgraduate (taught),190
10008071,AA School of Architecture,England,All,2018/19,First degree,520
10008071,AA School of Architecture,England,All,2018/19,Other undergraduate,0
10008071,AA School of Architecture,England,All,2018/19,Total,735
10008071,AA School of Architecture,England,London,2017/18,Postgraduate (research),25
10008071,AA School of Architecture,England,London,2017/18,Postgraduate (taught),175
10008071,AA School of Architecture,England,London,2017/18,First degree,460
10008071,AA School of Architecture,England,London,2017/18,Other undergraduate,0
10008071,AA School of Architecture,England,London,2017/18,Total,660
10008071,AA School of Architecture,All,London,2017/18,Postgraduate (research),25
10008071,AA School of Architecture,All,London,2017/18,Postgraduate (taught),175
