UKPRN,HE provider,Academic Year,Level of study,Number
10008071.0,AA School of Architecture,2020/21,Postgraduate (research),30
10008071.0,AA School of Architecture,2020/21,Postgraduate (taught),270
10008071.0,AA School of Architecture,2020/21,First degree,590
10008071.0,AA School of Architecture,2020/21,Other undergraduate,20
10008071.0,AA School of Architecture,2019/20,Postgraduate (research),25
10008071.0,AA School of Architecture,2019/20,Postgraduate (taught),230
10008071.0,AA School of Architecture,2019/20,First degree,520
10008071.0,AA School of Architecture,2019/20,Other undergraduate,0
10008071.0,AA School of Architecture,2018/19,Postgraduate (research),30
10008071.0,AA School of Architecture,2018/19,Postgraduate (taught),190
10008071.0,AA School of Architecture,2018/19,First degree,520
10008071.0,AA School of Architecture,2018/19,Other undergraduate,0
10008071.0,AA School of Architecture,2017/18,Postgraduate (research),25
10008071.0,AA School of Architecture,2017/18,Postgraduate (taught),175
10008071.0,AA School of Architecture,2017/18,First degree,460
10008071.0,AA School of Architecture,2017/18,Other undergraduate,0
10008071.0,AA School of Architecture,2016/17,Postgraduate (research),0
10008071.0,AA School of Architecture,2016/17,Postgraduate (taught),0
10008071.0,AA School of Architecture,2016/17,First degree,450
10008071.0,AA School of Architecture,2016/17,Other undergraduate,0
10008071.0,AA School of Architecture,2015/16,Postgraduate (research),0
10008071.0,AA School of Architecture,2015/16,Postgraduate (taught),0
10008071.0,AA School of Architecture,2015/16,First degree,465
10008071.0,AA School of Architecture,2015/16,Other undergraduate,0
10007783.0,The University of Aberdeen,2020/21,Postgraduate (research),825
10007783.0,The University of Aberdeen,2020/21,Postgraduate (taught),2605
10007783.0,The University of Aberdeen,2020/21,First degree,9100
10007783.0,The University of Aberdeen,2020/21,Other undergraduate,160
10007783.0,The University of Aberdeen,2019/20,Postgraduate (research),865
10007783.0,The University of Aberdeen,2019/20,Postgraduate (taught),2590
10007783.0,The University of Aberdeen,2019/20,First degree,9400
10007783.0,The University of Aberdeen,2019/20,Other undergraduate,160
10007783.0,The University of Aberdeen,2018/19,Postgraduate (research),905
10007783.0,The University of Aberdeen,2018/19,Postgraduate (taught),2290
10007783.0,The University of Aberdeen,2018/19,First degree,9595
10007783.0,The University of Aberdeen,2018/19,Other undergraduate,120
10007783.0,The University of Aberdeen,2017/18,Postgraduate (research),860
10007783.0,The University of Aberdeen,2017/18,Postgraduate (taught),1980
10007783.0,The University of Aberdeen,2017/18,First degree,9685
10007783.0,The University of Aberdeen,2017/18,Other undergraduate,90
10007783.0,The University of Aberdeen,2016/17,Postgraduate (research),875
10007783.0,The University of Aberdeen,2016/17,Postgraduate (taught),1830
10007783.0,The University of Aberdeen,2016/17,First degree,9450
10007783.0,The University of Aberdeen,2016/17,Other undergraduate,85
10007783.0,The University of Aberdeen,2015/16,Postgraduate (research),890
10007783.0,The University of Aberdeen,2015/16,Postgraduate (taught),1890
10007783.0,The University of Aberdeen,2015/16,First degree,9225
10007783.0,The University of Aberdeen,2015/16,Other undergraduate,110
10007783.0,The University of Aberdeen,2014/15,Postgraduate (research),865
10007783.0,The University of Aberdeen,2014/15,Postgraduate (taught),1720
10007783.0,The University of Aberdeen,2014/15,First degree,9190
10007783.0,The University of Aberdeen,2014/15,Other undergraduate,105
10019746.0,ABI College Limited,2017/18,Postgraduate (research),0
10019746.0,ABI College Limited,2017/18,Postgraduate (taught),0
10019746.0,ABI College Limited,2017/18,First degree,0
10019746.0,ABI College Limited,2017/18,Other undergraduate,100
10019746.0,ABI College Limited,2016/17,Postgraduate (research),0
10019746.0,ABI College Limited,2016/17,Postgraduate (taught),0
10019746.0,ABI College Limited,2016/17,First degree,0
10019746.0,ABI College Limited,2016/17,Other undergraduate,65
10019746.0,ABI College Limited,2015/16,Postgraduate (research),0
10019746.0,ABI College Limited,2015/16,Postgraduate (taught),0
10019746.0,ABI College Limited,2015/16,First degree,0
10019746.0,ABI College Limited,2015/16,Other undergraduate,60
10019746.0,ABI College Limited,2014/15,Postgraduate (research),0
10019746.0,ABI College Limited,2014/15,Postgraduate (taught),0
10019746.0,ABI College Limited,2014/15,First degree,0
